Link,Title,Asking Price,Cash Flow,Gross Revenue,EBITDA,Location,Established,FF&E,Inventory,Real Estate,Employees,Description
https://m.bizbuysell.com/franchise-for-sale/men-in-kilts-window-cleaning//?f_irts=false&f_bfssr=1&b_st=MA,Men In Kilts Window Cleaning Franchise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://m.bizbuysell.com/franchise-for-sale/granite-garage-floors//?f_irts=false&f_bfssr=1&b_st=MA,Granite Garage Floors Franchise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://m.bizbuysell.com/franchise-for-sale/clothes-mentor-retail-franchise//?f_irts=false&f_bfssr=1&b_st=MA,Clothes Mentor® Franchise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
https://m.bizbuysell.com/franchise-for-sale/stand-strong-fencing//?f_irts=false&f_bfssr=1&b_st=MA,Stand Strong Fencing Franchise,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
